City Pair,Passenger Total,Year,Month_num,YYYY-MM
ADELAIDE-ALICE SPRINGS,12223,2000,1,2000-1
ADELAIDE-BRISBANE,18598,2000,1,2000-1
ADELAIDE-CANBERRA,2904,2000,1,2000-1
ADELAIDE-DARWIN,12253,2000,1,2000-1
ADELAIDE-MELBOURNE,102673,2000,1,2000-1
ADELAIDE-PERTH,34965,2000,1,2000-1
ADELAIDE-PORT LINCOLN,7796,2000,1,2000-1
ADELAIDE-SYDNEY,95091,2000,1,2000-1
ALBURY-SYDNEY,8708,2000,1,2000-1
ALICE SPRINGS-DARWIN,9900,2000,1,2000-1
ALICE SPRINGS-SYDNEY,12245,2000,1,2000-1
BALLINA-SYDNEY,9571,2000,1,2000-1
BRISBANE-CAIRNS,69911,2000,1,2000-1
BRISBANE-CANBERRA,17577,2000,1,2000-1
BRISBANE-DARWIN,12603,2000,1,2000-1
BRISBANE-HAMILTON ISLAND,11848,2000,1,2000-1
BRISBANE-HOBART,1128,2000,1,2000-1
BRISBANE-MACKAY,15765,2000,1,2000-1
BRISBANE-MELBOURNE,146006,2000,1,2000-1
BRISBANE-NEWCASTLE,2897,2000,1,2000-1
BRISBANE-PERTH,7313,2000,1,2000-1
BRISBANE-PROSERPINE,7424,2000,1,2000-1
BRISBANE-ROCKHAMPTON,17446,2000,1,2000-1
BRISBANE-SYDNEY,254806,2000,1,2000-1
BRISBANE-TOWNSVILLE,37751,2000,1,2000-1
BROOME-PERTH,9716,2000,1,2000-1
CAIRNS-MELBOURNE,5557,2000,1,2000-1
CAIRNS-SYDNEY,51533,2000,1,2000-1
CAIRNS-TOWNSVILLE,8655,2000,1,2000-1
CANBERRA-MELBOURNE,48066,2000,1,2000-1
CANBERRA-SYDNEY,53923,2000,1,2000-1
COFFS HARBOUR-SYDNEY,14141,2000,1,2000-1
DARWIN-SYDNEY,8137,2000,1,2000-1
DEVONPORT-MELBOURNE,13495,2000,1,2000-1
DUBBO-SYDNEY,7439,2000,1,2000-1
GOLD COAST-SYDNEY,130534,2000,1,2000-1
HOBART-MELBOURNE,73827,2000,1,2000-1
HOBART-SYDNEY,12421,2000,1,2000-1
KALGOORLIE-PERTH,11420,2000,1,2000-1
KARRATHA-PERTH,11362,2000,1,2000-1
LAUNCESTON-MELBOURNE,45130,2000,1,2000-1
LAUNCESTON-SYDNEY,9395,2000,1,2000-1
MELBOURNE-BURNIE,9022,2000,1,2000-1
MELBOURNE-GOLD COAST,64232,2000,1,2000-1
MELBOURNE-MILDURA,6672,2000,1,2000-1
MELBOURNE-NEWCASTLE,2139,2000,1,2000-1
MELBOURNE-PERTH,89291,2000,1,2000-1
MELBOURNE-SYDNEY,411403,2000,1,2000-1
PERTH-PORT HEDLAND,5164,2000,1,2000-1
PERTH-SYDNEY,97844,2000,1,2000-1
SUNSHINE COAST-MELBOURNE,3991,2000,1,2000-1
SUNSHINE COAST-SYDNEY,17948,2000,1,2000-1
SYDNEY-TOWNSVILLE,818,2000,1,2000-1
SYDNEY-WAGGA WAGGA,7958,2000,1,2000-1
