YYYYMM,ADELAIDE-ALICE SPRINGS,ADELAIDE-BRISBANE,ADELAIDE-CANBERRA,ADELAIDE-DARWIN,ADELAIDE-GOLD COAST,ADELAIDE-MELBOURNE,ADELAIDE-PERTH,ADELAIDE-PORT LINCOLN,ADELAIDE-SYDNEY,ALBURY-SYDNEY,ALICE SPRINGS-DARWIN,ALICE SPRINGS-MELBOURNE,ALICE SPRINGS-SYDNEY,ARMIDALE-SYDNEY,AYERS ROCK-SYDNEY,BALLINA-SYDNEY,BRISBANE-CAIRNS,BRISBANE-CANBERRA,BRISBANE-DARWIN,BRISBANE-EMERALD,BRISBANE-GLADSTONE,BRISBANE-HAMILTON ISLAND,BRISBANE-HOBART,BRISBANE-MACKAY,BRISBANE-MELBOURNE,BRISBANE-MORANBAH,BRISBANE-MOUNT ISA,BRISBANE-NEWCASTLE,BRISBANE-PERTH,BRISBANE-PROSERPINE,BRISBANE-ROCKHAMPTON,BRISBANE-SYDNEY,BRISBANE-TOWNSVILLE,BROOME-PERTH,BUNDABERG-BRISBANE,CAIRNS-MELBOURNE,CAIRNS-SYDNEY,CAIRNS-TOWNSVILLE,CANBERRA-MELBOURNE,CANBERRA-SYDNEY,COFFS HARBOUR-SYDNEY,DARWIN-MELBOURNE,DARWIN-PERTH,DARWIN-SYDNEY,DEVONPORT-MELBOURNE,DUBBO-SYDNEY,GERALDTON-PERTH,GOLD COAST-SYDNEY,HAMILTON ISLAND-MELBOURNE,HAMILTON ISLAND-SYDNEY,HERVEY BAY-SYDNEY,HOBART-MELBOURNE,HOBART-SYDNEY,KALGOORLIE-PERTH,KARRATHA-PERTH,LAUNCESTON-MELBOURNE,LAUNCESTON-SYDNEY,MELBOURNE-BURNIE,MELBOURNE-GOLD COAST,MELBOURNE-MILDURA,MELBOURNE-NEWCASTLE,MELBOURNE-PERTH,MELBOURNE-SYDNEY,MELBOURNE-TOWNSVILLE,NEWCASTLE-GOLD COAST,PERTH-NEWMAN,PERTH-PORT HEDLAND,PERTH-SYDNEY,PORT MACQUARIE-SYDNEY,PROSERPINE-SYDNEY,SUNSHINE COAST-MELBOURNE,SUNSHINE COAST-SYDNEY,SYDNEY-TAMWORTH,SYDNEY-TOWNSVILLE,SYDNEY-WAGGA WAGGA
Jan-2000,12223.0,18598.0,2904.0,12253.0,0.0,102673.0,34965.0,7796.0,95091.0,8708.0,9900.0,0.0,12245.0,0.0,0.0,9571.0,69911.0,17577.0,12603.0,0.0,0.0,11848.0,1128.0,15765.0,146006.0,0.0,0.0,2897.0,7313.0,7424.0,17446.0,254806.0,37751.0,9716.0,0.0,5557.0,51533.0,8655.0,48066.0,53923.0,14141.0,0.0,0.0,8137.0,13495.0,7439.0,0.0,130534.0,0.0,0.0,0.0,73827.0,12421.0,11420.0,11362.0,45130.0,9395.0,9022.0,64232.0,6672.0,2139.0,89291.0,411403.0,0.0,0.0,0.0,5164.0,97844.0,0.0,0.0,3991.0,17948.0,0.0,818.0,7958.0
Feb-2000,10825.0,15216.0,8196.0,9547.0,0.0,103813.0,31218.0,7851.0,88332.0,8785.0,10370.0,0.0,10461.0,0.0,0.0,8402.0,68801.0,17284.0,9779.0,0.0,0.0,8161.0,0.0,14270.0,122611.0,0.0,0.0,2789.0,4112.0,4879.0,16859.0,249664.0,34496.0,7311.0,0.0,2636.0,46446.0,10681.0,64036.0,70234.0,12691.0,0.0,0.0,6557.0,11197.0,8745.0,0.0,101928.0,0.0,0.0,0.0,69214.0,8806.0,13144.0,10551.0,37809.0,7051.0,7742.0,43341.0,8135.0,2074.0,69365.0,452738.0,0.0,0.0,0.0,4386.0,76776.0,0.0,0.0,1635.0,13104.0,0.0,0.0,9249.0
Mar-2000,12586.0,18077.0,9570.0,10929.0,0.0,123857.0,35701.0,9487.0,102787.0,10390.0,11730.0,0.0,12338.0,0.0,0.0,8266.0,70837.0,20525.0,10341.0,0.0,0.0,9703.0,0.0,16808.0,139925.0,0.0,0.0,3236.0,5257.0,5426.0,19603.0,268677.0,38989.0,9664.0,0.0,2840.0,50673.0,11764.0,70096.0,78498.0,14963.0,0.0,0.0,7406.0,12092.0,10890.0,0.0,108235.0,0.0,0.0,0.0,72415.0,9370.0,15388.0,12239.0,42488.0,7823.0,8033.0,46540.0,9833.0,2651.0,82812.0,503231.0,0.0,0.0,0.0,5273.0,85492.0,0.0,0.0,2221.0,14341.0,0.0,0.0,9816.0
Apr-2000,12574.0,18488.0,9099.0,12602.0,0.0,113962.0,34450.0,9065.0,104531.0,9693.0,12758.0,0.0,13580.0,0.0,0.0,5282.0,78225.0,20584.0,11761.0,0.0,0.0,11897.0,0.0,16072.0,141865.0,0.0,0.0,1958.0,6508.0,6839.0,20241.0,279404.0,40465.0,11604.0,0.0,4504.0,55586.0,10696.0,61994.0,69278.0,14177.0,0.0,0.0,9154.0,11706.0,10098.0,0.0,107337.0,0.0,0.0,0.0,69594.0,9493.0,14240.0,12008.0,40232.0,7066.0,8485.0,49253.0,9292.0,3500.0,86468.0,437369.0,0.0,0.0,0.0,6003.0,92003.0,0.0,0.0,3122.0,14267.0,0.0,116.0,9797.0
May-2000,11755.0,17163.0,8830.0,13949.0,0.0,113137.0,31356.0,8316.0,96113.0,9831.0,15270.0,0.0,13048.0,0.0,0.0,6433.0,77077.0,20794.0,12938.0,0.0,0.0,8934.0,0.0,16918.0,134911.0,0.0,0.0,3332.0,4828.0,5710.0,20325.0,265498.0,43094.0,12025.0,0.0,3295.0,51516.0,11560.0,65963.0,78787.0,13468.0,0.0,0.0,10227.0,10200.0,10022.0,0.0,96263.0,0.0,0.0,0.0,61913.0,9840.0,15492.0,12595.0,34164.0,4641.0,7530.0,38746.0,10005.0,3865.0,75971.0,453864.0,0.0,0.0,0.0,6281.0,80452.0,0.0,0.0,2114.0,12141.0,0.0,241.0,10139.0
Jun-2000,13280.0,17006.0,9253.0,15459.0,0.0,113065.0,30634.0,8573.0,91913.0,9440.0,16609.0,0.0,13551.0,0.0,0.0,9159.0,88987.0,21537.0,13863.0,0.0,0.0,9518.0,0.0,17540.0,147275.0,0.0,0.0,4797.0,5029.0,6483.0,20698.0,280784.0,46031.0,14476.0,0.0,5028.0,61625.0,12580.0,63677.0,77992.0,13053.0,0.0,0.0,14455.0,10541.0,10646.0,0.0,98343.0,0.0,0.0,0.0,60671.0,10650.0,16139.0,13057.0,33339.0,4579.0,7643.0,49573.0,9676.0,4532.0,75819.0,465074.0,0.0,0.0,0.0,6773.0,77554.0,0.0,0.0,2948.0,10267.0,0.0,0.0,9813.0
Jul-2000,14232.0,18054.0,8134.0,15129.0,0.0,112694.0,29087.0,8007.0,98715.0,10244.0,18171.0,0.0,14571.0,0.0,0.0,7785.0,95597.0,22178.0,16305.0,0.0,0.0,8090.0,0.0,18020.0,149225.0,0.0,0.0,4542.0,5236.0,6646.0,20924.0,299634.0,47781.0,14708.0,0.0,6131.0,71580.0,12230.0,60571.0,77672.0,13578.0,0.0,0.0,17173.0,9121.0,9942.0,0.0,101496.0,0.0,0.0,0.0,54163.0,8819.0,14734.0,12939.0,29380.0,3597.0,6711.0,43555.0,9460.0,4136.0,76538.0,476947.0,0.0,0.0,0.0,6635.0,81869.0,0.0,0.0,3195.0,10084.0,0.0,0.0,9193.0
Aug-2000,14620.0,18575.0,9543.0,15231.0,0.0,117022.0,29786.0,7593.0,98899.0,12360.0,18173.0,0.0,14432.0,0.0,0.0,7840.0,100215.0,21707.0,18174.0,0.0,0.0,10038.0,0.0,18238.0,156374.0,0.0,0.0,4959.0,4410.0,7004.0,22380.0,316419.0,45858.0,14703.0,0.0,5100.0,70329.0,11757.0,65698.0,85749.0,13632.0,0.0,0.0,16515.0,9442.0,10790.0,0.0,98412.0,0.0,0.0,0.0,58592.0,9334.0,15094.0,12798.0,29691.0,3531.0,6488.0,50758.0,9624.0,4124.0,73488.0,519409.0,0.0,0.0,0.0,6839.0,76157.0,0.0,0.0,3192.0,9363.0,0.0,0.0,9848.0
Sep-2000,13474.0,20149.0,10274.0,14137.0,0.0,123422.0,38744.0,8358.0,102834.0,12912.0,15306.0,0.0,12399.0,0.0,0.0,8371.0,89739.0,24752.0,16066.0,0.0,0.0,12413.0,0.0,18111.0,181972.0,0.0,0.0,5668.0,6670.0,7469.0,21048.0,389187.0,48976.0,14428.0,0.0,5584.0,67309.0,11269.0,63580.0,78717.0,12670.0,0.0,0.0,14623.0,10159.0,9551.0,0.0,105638.0,0.0,0.0,0.0,66879.0,11801.0,19806.0,15336.0,38629.0,6026.0,7877.0,51215.0,9429.0,4897.0,87770.0,569803.0,0.0,0.0,0.0,7968.0,94514.0,0.0,0.0,3541.0,9640.0,0.0,5.0,8728.0
Oct-2000,13636.0,19756.0,9755.0,12735.0,0.0,123531.0,36708.0,8175.0,104371.0,10926.0,15529.0,0.0,13822.0,0.0,0.0,7947.0,86587.0,23597.0,14918.0,0.0,0.0,12404.0,0.0,17639.0,196747.0,0.0,0.0,5766.0,6912.0,7158.0,21718.0,379718.0,45951.0,13217.0,0.0,5235.0,69768.0,12084.0,71351.0,81430.0,13901.0,102.0,0.0,12380.0,9545.0,10799.0,0.0,101427.0,0.0,0.0,0.0,67777.0,11947.0,17397.0,14721.0,34860.0,5141.0,7328.0,45557.0,9850.0,5184.0,87322.0,534892.0,0.0,0.0,0.0,7193.0,96228.0,0.0,0.0,2811.0,9996.0,0.0,0.0,10053.0
